	gene_id_WB25_
APCDD1	2
APCDD1L	2
APCDD1L_AS1	1
APCS	0
APEH	71
APELA	1
APEX1	64
APEX2	2
APH1A	115
APH1B	21
API5	80
APIP	9
APITD1	0
APITD1_CORT	0
APLF	97
APLN	1
APLNR	2
APLP1	22
APLP2	543
APMAP	79
APOA1	2
APOA1_AS	2
APOA1BP	25
APOA2	20
APOA4	0
APOA5	0
APOB	8
APOBEC1	0
APOBEC2	13
APOBEC3A	0
APOBEC3A_B	0
APOBEC3B	0
APOBEC3B_AS1	0
APOBEC3C	36
APOBEC3D	16
APOBEC3F	27
APOBEC3G	28
APOBEC3H	3
APOBEC4	0
APOBR	305
APOC1	0
APOC1P1	1
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	1
APOE	5
APOF	2
APOH	0
APOL1	14
APOL2	42
APOL3	66
APOL4	1
APOL5	1
APOL6	412
APOLD1	8
APOM	4
APOO	6
APOOL	36
APOOP5	0
APOPT1	19
APP	755
APPBP2	34
APPL1	96
APPL2	116
APRT	61
APTR	17
APTX	33
AQP1	20
AQP10	29
AQP11	11
AQP12A	1
AQP12B	0
AQP2	2
AQP3	31
AQP4	2
AQP4_AS1	0
AQP5	0
AQP6	2
AQP7	0
AQP7P1	3
AQP7P3	0
AQP8	2
AQP9	43
AQR	97
AR	14
ARAF	141
ARAP1	695
ARAP2	202
ARAP3	34
ARC	1
ARCN1	98
AREG	14
AREL1	122
ARF1	825
ARF3	294
ARF4	142
ARF5	88
ARF6	537
ARFGAP1	135
ARFGAP2	250
ARFGAP3	78
ARFGEF1	258
ARFGEF2	504
ARFGEF3	8
ARFIP1	12
ARFIP2	64
ARFRP1	60
ARG1	24
ARG2	32
ARGFX	0
ARGFXP2	3
ARGLU1	315
ARHGAP1	83
ARHGAP10	82
ARHGAP11A	14
ARHGAP11B	11
ARHGAP12	58
ARHGAP15	171
ARHGAP17	186
ARHGAP18	229
ARHGAP19	33
ARHGAP19_SLIT1	0
ARHGAP20	1
ARHGAP21	246
ARHGAP22	2
ARHGAP23	23
ARHGAP24	29
ARHGAP25	146
ARHGAP26	251
ARHGAP26_AS1	10
ARHGAP26_IT1	2
ARHGAP27	191
ARHGAP28	3
ARHGAP29	2
ARHGAP30	378
ARHGAP31	35
ARHGAP31_AS1	2
ARHGAP32	77
ARHGAP33	21
ARHGAP35	86
ARHGAP36	0
ARHGAP39	1
ARHGAP4	605
ARHGAP40	2
ARHGAP42	3
ARHGAP44	2
ARHGAP5	122
ARHGAP5_AS1	0
ARHGAP6	120
ARHGAP8	0
ARHGAP9	302
ARHGDIA	482
ARHGDIB	890
ARHGDIG	2
ARHGEF1	1166
ARHGEF10	15
ARHGEF10L	46
ARHGEF11	99
ARHGEF12	595
ARHGEF15	2
ARHGEF16	1
ARHGEF17	17
ARHGEF18	364
ARHGEF19	6
ARHGEF2	367
ARHGEF25	3
ARHGEF26	2
ARHGEF26_AS1	2
ARHGEF28	5
ARHGEF3	124
ARHGEF3_AS1	0
ARHGEF33	4
ARHGEF34P	2
ARHGEF35	0
ARHGEF37	4
ARHGEF38	2
ARHGEF38_IT1	0
ARHGEF39	13
ARHGEF4	4
ARHGEF40	112
ARHGEF5	8
ARHGEF6	116
ARHGEF7	267
ARHGEF7_AS1	0
ARHGEF7_AS2	1
ARHGEF9	25
ARHGEF9_IT1	1
ARID1A	362
ARID1B	193
ARID2	265
ARID3A	54
ARID3B	243
ARID3C	0
ARID4A	350
ARID4B	739
ARID5A	169
ARID5B	207
ARIH1	345
ARIH2	135
ARIH2OS	13
ARL1	21
ARL10	10
ARL11	6
ARL13A	2
ARL13B	17
ARL14	1
ARL14EP	14
ARL14EPL	0
ARL15	53
ARL16	13
ARL17A	47
ARL17B	0
ARL2	10
ARL2_SNX15	0
ARL2BP	25
ARL3	20
ARL4A	75
ARL4C	499
ARL4D	4
ARL5A	55
ARL5B	62
ARL5C	0
ARL6	1
ARL6IP1	266
ARL6IP4	194
ARL6IP5	391
ARL6IP6	14
ARL8A	138
ARL8B	137
ARL9	0
ARMC1	20
ARMC10	10
ARMC12	3
ARMC2	6
ARMC2_AS1	1
ARMC3	22
ARMC4	4
ARMC5	38
ARMC6	21
ARMC7	12
ARMC8	187
ARMC9	6
ARMCX1	0
ARMCX2	2
ARMCX3	150
ARMCX4	27
ARMCX5	11
ARMCX5_GPRASP2	0
ARMCX6	33
ARMS2	0
ARMT1	11
ARNT	103
ARNT2	7
ARNTL	104
ARNTL2	6
ARNTL2_AS1	0
ARPC1A	87
ARPC1B	1444
ARPC2	569
ARPC3	179
ARPC4	283
ARPC4_TTLL3	0
ARPC5	296
ARPC5L	102
ARPIN	10
ARPP19	323
ARPP21	5
ARR3	0
ARRB1	253
ARRB2	496
ARRDC1	76
ARRDC1_AS1	22
ARRDC2	191
ARRDC3	230
ARRDC3_AS1	12
ARRDC4	84
ARRDC5	15
ARSA	86
ARSB	40
ARSD	42
ARSE	2
ARSF	1
ARSG	32
ARSH	1
ARSI	19
ARSJ	4
ARSK	12
ART1	1
ART3	1
ART4	5
ART5	1
ARTN	1
ARV1	4
ARVCF	13
ARX	0
AS3MT	0
ASAH1	431
ASAH2	1
ASAH2B	0
ASAP1	514
ASAP1_IT1	4
ASAP1_IT2	7
ASAP2	132
ASAP3	3
ASB1	36
ASB10	0
ASB11	0
ASB12	0
ASB13	13
ASB14	25
ASB15	5
ASB16	4
ASB16_AS1	11
ASB17	0
ASB18	0
ASB2	5
ASB3	22
ASB4	4
ASB5	0
ASB6	57
ASB7	44
ASB8	82
ASB9	0
ASB9P1	0
ASCC1	31
ASCC2	285
ASCC3	173
ASCL1	1
ASCL2	3
ASCL3	0
ASCL4	0
ASCL5	0
ASF1A	32
ASF1B	6
ASGR1	16
ASGR2	37
ASH1L	475
ASH1L_AS1	62
ASH2L	118
ASIC1	4
ASIC2	0
ASIC3	11
ASIC4	2
ASIC5	0
ASIP	0
ASL	27
ASMT	2
ASMTL	59
ASMTL_AS1	47
ASNA1	38
ASNS	14
ASNSD1	41
ASPA	0
ASPDH	7
ASPG	3
ASPH	77
ASPHD1	1
ASPHD2	17
ASPM	21
ASPN	10
ASPRV1	6
ASPSCR1	26
ASRGL1	18
ASS1	3
ASTE1	18
ASTL	8
ASTN1	6
ASTN2	9
ASTN2_AS1	2
ASUN	29
ASXL1	315
ASXL2	80
ASXL3	11
ASZ1	0
ATAD1	46
ATAD2	273
ATAD2B	357
ATAD3A	26
ATAD3B	62
ATAD3C	1
ATAD5	77
ATAT1	9
ATCAY	1
ATE1	136
ATE1_AS1	0
ATF1	20
ATF2	175
ATF3	41
ATF4	748
ATF5	25
ATF6	177
ATF6B	133
ATF7	43
ATF7IP	446
ATF7IP2	29
ATG10	11
ATG101	38
ATG12	37
ATG13	176
ATG14	131
ATG16L1	170
ATG16L2	345
ATG2A	1042
ATG2B	135
ATG3	111
ATG4A	18
ATG4B	71
ATG4C	6
ATG4D	83
ATG5	34
ATG7	56
ATG9A	182
ATG9B	6
ATHL1	296
ATIC	22
ATL1	10
ATL2	106
ATL3	100
ATM	639
ATMIN	50
ATN1	94
ATOH1	0
ATOH7	0
ATOH8	5
ATOX1	27
ATP10A	93
ATP10B	0
ATP10D	25
ATP11A	233
ATP11A_AS1	5
ATP11AUN	1
ATP11B	554
ATP11C	43
ATP12A	7
ATP13A1	70
ATP13A2	86
ATP13A3	268
ATP13A4	8
ATP13A4_AS1	0
ATP13A5	6
ATP13A5_AS1	1
ATP1A1	355
ATP1A1_AS1	7
ATP1A2	11
ATP1A3	17
ATP1A4	4
ATP1B1	6
ATP1B2	16
ATP1B3	50
ATP1B4	2
ATP2A1	8
ATP2A1_AS1	0
ATP2A2	465
ATP2A3	1122
ATP2B1	418
