	gene_id_FLU_22_S38_
ANO6	3558
ANO7	14
ANO8	87
ANO9	163
ANOS1	19
ANP32A	2249
ANP32A_IT1	431
ANP32AP1	1
ANP32B	970
ANP32C	0
ANP32D	0
ANP32E	1256
ANPEP	2776
ANTXR1	7
ANTXR2	4310
ANTXRL	0
ANTXRLP1	128
ANXA1	9599
ANXA10	25
ANXA11	2884
ANXA13	0
ANXA2	5502
ANXA2P1	3
ANXA2P2	11
ANXA2P3	0
ANXA2R	145
ANXA3	1233
ANXA4	495
ANXA5	4363
ANXA6	5565
ANXA7	2423
ANXA8	0
ANXA8L1	2
ANXA9	113
AOAH	5909
AOAH_IT1	211
AOC1	27
AOC2	72
AOC3	38
AOC4P	4
AOX1	0
AOX2P	3
AP1AR	425
AP1B1	759
AP1B1P1	0
AP1G1	3125
AP1G2	483
AP1M1	587
AP1M2	17
AP1S1	93
AP1S2	2699
AP1S3	55
AP2A1	1237
AP2A2	476
AP2B1	4022
AP2M1	2118
AP2S1	552
AP3B1	4229
AP3B2	10
AP3D1	1286
AP3M1	1363
AP3M2	747
AP3S1	681
AP3S2	20
AP4B1	347
AP4B1_AS1	95
AP4E1	918
AP4M1	49
AP4S1	297
AP5B1	2168
AP5M1	1211
AP5S1	119
AP5Z1	486
APAF1	3844
APBA1	14
APBA2	306
APBA3	165
APBB1	197
APBB1IP	3291
APBB2	72
APBB3	277
APC	3772
APC2	33
APCDD1	34
APCDD1L	5
APCDD1L_AS1	0
APCS	0
APEH	798
APELA	2
APEX1	579
APEX2	98
APH1A	1211
APH1B	486
API5	2024
APIP	192
APITD1	10
APITD1_CORT	0
APLF	291
APLN	0
APLNR	0
APLP1	1
APLP2	5608
APMAP	2461
APOA1	2
APOA1_AS	21
APOA1BP	238
APOA2	46
APOA4	0
APOA5	0
APOB	2
APOBEC1	0
APOBEC2	169
APOBEC3A	349
APOBEC3A_B	0
APOBEC3B	113
APOBEC3B_AS1	4
APOBEC3C	161
APOBEC3D	130
APOBEC3F	127
APOBEC3G	1469
APOBEC3H	77
APOBEC4	25
APOBR	1129
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	0
APOE	0
APOF	5
APOH	0
APOL1	634
APOL2	1621
APOL3	1281
APOL4	14
APOL5	1
APOL6	13246
APOLD1	23
APOM	56
APOO	88
APOOL	229
APOOP5	0
APOPT1	170
APP	2188
APPBP2	1282
APPL1	1579
APPL2	1596
APRT	420
APTR	60
APTX	280
AQP1	73
AQP10	68
AQP11	66
AQP12A	0
AQP12B	0
AQP2	0
AQP3	325
AQP4	0
AQP4_AS1	0
AQP5	0
AQP6	0
AQP7	2
AQP7P1	0
AQP7P3	0
AQP8	1
AQP9	15434
AQR	2299
AR	21
ARAF	390
ARAP1	6022
ARAP2	6893
ARAP3	350
ARC	0
ARCN1	1791
AREG	153
AREL1	2620
ARF1	3689
ARF3	764
ARF4	1572
ARF5	377
ARF6	3177
ARFGAP1	306
ARFGAP2	1237
ARFGAP3	1505
ARFGEF1	5223
ARFGEF2	1919
ARFGEF3	6
ARFIP1	1155
ARFIP2	358
ARFRP1	329
ARG1	285
ARG2	336
ARGFX	1
ARGFXP2	37
ARGLU1	2800
ARHGAP1	343
ARHGAP10	458
ARHGAP11A	240
ARHGAP11B	43
ARHGAP12	1309
ARHGAP15	6019
ARHGAP17	498
ARHGAP18	1381
ARHGAP19	697
ARHGAP19_SLIT1	0
ARHGAP20	1
ARHGAP21	929
ARHGAP22	38
ARHGAP23	7
ARHGAP24	493
ARHGAP25	5990
ARHGAP26	7611
ARHGAP26_AS1	436
ARHGAP26_IT1	207
ARHGAP27	1341
ARHGAP28	4
ARHGAP29	52
ARHGAP30	6636
ARHGAP31	605
ARHGAP31_AS1	3
ARHGAP32	158
ARHGAP33	32
ARHGAP35	1256
ARHGAP36	0
ARHGAP39	2
ARHGAP4	2422
ARHGAP40	0
ARHGAP42	120
ARHGAP44	9
ARHGAP5	2326
ARHGAP5_AS1	3
ARHGAP6	214
ARHGAP8	0
ARHGAP9	2854
ARHGDIA	577
ARHGDIB	9132
ARHGDIG	0
ARHGEF1	2084
ARHGEF10	72
ARHGEF10L	291
ARHGEF11	886
ARHGEF12	4492
ARHGEF15	0
ARHGEF16	3
ARHGEF17	5
ARHGEF18	1639
ARHGEF19	43
ARHGEF2	3191
ARHGEF25	1
ARHGEF26	84
ARHGEF26_AS1	2
ARHGEF28	105
ARHGEF3	2763
ARHGEF3_AS1	0
ARHGEF33	19
ARHGEF34P	2
ARHGEF35	5
ARHGEF37	57
ARHGEF38	12
