	gene_id_FLU_45_
AP5Z1	323
APAF1	1720
APBA1	5
APBA2	129
APBA3	94
APBB1	102
APBB1IP	2823
APBB2	10
APBB3	164
APC	1782
APC2	60
APCDD1	8
APCDD1L	15
APCDD1L_AS1	0
APCS	0
APEH	347
APELA	0
APEX1	268
APEX2	36
APH1A	308
APH1B	185
API5	668
APIP	80
APITD1	0
APITD1_CORT	0
APLF	495
APLN	0
APLNR	0
APLP1	0
APLP2	2481
APMAP	739
APOA1	2
APOA1_AS	7
APOA1BP	80
APOA2	20
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	27
APOBEC3A	264
APOBEC3A_B	0
APOBEC3B	6
APOBEC3B_AS1	3
APOBEC3C	93
APOBEC3D	94
APOBEC3F	80
APOBEC3G	309
APOBEC3H	25
APOBEC4	5
APOBR	2066
APOC1	0
APOC1P1	0
APOC2	0
APOC3	0
APOC4	0
APOC4_APOC2	0
APOD	0
APOE	1
APOF	2
APOH	0
APOL1	281
APOL2	642
APOL3	500
APOL4	3
APOL5	0
APOL6	2071
APOLD1	80
APOM	34
APOO	14
APOOL	199
APOOP5	0
APOPT1	163
APP	926
APPBP2	474
APPL1	656
APPL2	772
APRT	159
APTR	28
APTX	109
AQP1	115
AQP10	6
AQP11	60
AQP12A	0
AQP12B	0
AQP2	0
AQP3	215
AQP4	0
AQP4_AS1	0
AQP5	1
AQP6	0
AQP7	1
AQP7P1	0
AQP7P3	3
AQP8	0
AQP9	4320
AQR	871
AR	4
ARAF	329
ARAP1	7287
ARAP2	1954
ARAP3	909
ARC	0
ARCN1	976
AREG	9
AREL1	1243
ARF1	1755
ARF3	654
ARF4	441
ARF5	297
ARF6	1296
ARFGAP1	313
ARFGAP2	604
ARFGAP3	547
ARFGEF1	2513
ARFGEF2	915
ARFGEF3	0
ARFIP1	414
ARFIP2	154
ARFRP1	170
ARG1	110
ARG2	112
ARGFX	0
ARGFXP2	15
ARGLU1	1302
ARHGAP1	473
ARHGAP10	194
ARHGAP11A	112
ARHGAP11B	35
ARHGAP12	558
ARHGAP15	2469
ARHGAP17	436
ARHGAP18	459
ARHGAP19	299
ARHGAP19_SLIT1	0
ARHGAP20	0
ARHGAP21	690
ARHGAP22	34
ARHGAP23	10
ARHGAP24	297
ARHGAP25	4697
ARHGAP26	8304
ARHGAP26_AS1	94
ARHGAP26_IT1	107
ARHGAP27	1906
ARHGAP28	0
ARHGAP29	8
ARHGAP30	2959
ARHGAP31	297
ARHGAP31_AS1	7
ARHGAP32	154
ARHGAP33	14
ARHGAP35	697
ARHGAP36	0
ARHGAP39	1
ARHGAP4	1545
ARHGAP40	0
ARHGAP42	99
ARHGAP44	4
ARHGAP5	1075
ARHGAP5_AS1	1
ARHGAP6	79
ARHGAP8	0
ARHGAP9	3643
ARHGDIA	694
ARHGDIB	4613
ARHGDIG	1
ARHGEF1	2931
ARHGEF10	31
ARHGEF10L	225
ARHGEF11	964
ARHGEF12	3760
ARHGEF15	0
ARHGEF16	1
ARHGEF17	0
ARHGEF18	1498
ARHGEF19	18
ARHGEF2	2764
ARHGEF25	0
ARHGEF26	16
ARHGEF26_AS1	0
ARHGEF28	9
ARHGEF3	1132
ARHGEF3_AS1	0
ARHGEF33	9
ARHGEF34P	8
ARHGEF35	3
ARHGEF37	42
ARHGEF38	2
ARHGEF38_IT1	0
ARHGEF39	31
ARHGEF4	25
ARHGEF40	1079
ARHGEF5	14
ARHGEF6	1889
ARHGEF7	616
ARHGEF7_AS1	0
ARHGEF7_AS2	0
ARHGEF9	125
ARHGEF9_IT1	1
ARID1A	1943
ARID1B	876
ARID2	1319
ARID3A	284
ARID3B	498
ARID3C	0
ARID4A	1863
ARID4B	2443
ARID5A	297
ARID5B	829
ARIH1	1086
ARIH2	682
ARIH2OS	23
ARL1	162
ARL10	31
ARL11	295
ARL13A	11
ARL13B	110
ARL14	2
ARL14EP	289
ARL14EPL	1
ARL15	259
ARL16	95
ARL17A	54
ARL17B	0
ARL2	19
ARL2_SNX15	0
ARL2BP	203
ARL3	133
ARL4A	449
ARL4C	1289
ARL4D	4
ARL5A	539
ARL5B	214
ARL5C	0
ARL6	20
ARL6IP1	933
ARL6IP4	336
ARL6IP5	1582
ARL6IP6	150
ARL8A	177
ARL8B	623
ARL9	0
ARMC1	248
ARMC10	181
ARMC12	7
ARMC2	132
ARMC2_AS1	9
ARMC3	10
ARMC4	0
ARMC5	77
ARMC6	114
ARMC7	85
ARMC8	841
ARMC9	5
ARMCX1	6
ARMCX2	16
ARMCX3	200
ARMCX4	63
ARMCX5	68
ARMCX5_GPRASP2	8
ARMCX6	41
ARMS2	1
ARMT1	157
ARNT	743
ARNT2	0
ARNTL	826
ARNTL2	102
ARNTL2_AS1	6
ARPC1A	362
ARPC1B	3268
ARPC2	4088
ARPC3	1701
ARPC4	560
ARPC4_TTLL3	0
ARPC5	2171
ARPC5L	135
ARPIN	92
ARPP19	1014
ARPP21	0
ARR3	15
ARRB1	1123
ARRB2	3553
ARRDC1	224
ARRDC1_AS1	56
ARRDC2	386
ARRDC3	1811
ARRDC3_AS1	57
ARRDC4	309
ARRDC5	76
ARSA	278
ARSB	278
ARSD	279
